Circuit,Aero,Differential,Susp. geometry,Suspension,Brakes,Tires Q,Tires R,Compounds,Strategy (50%),,Laps 50%,Creation date,notes,,
United States,45-50q / 42-50r,100-25-100,LL.05L,41-1-4-21-19-60,100/54(50 T2-9),max,max,C2-C4,HM 17-19/MH 8-11,,28,31/01/2025,great race set,traction on old hards can be an issue,
Mexico,30-39,100-20-100,LL.03L,41-1-4-21-18-60,100/52q 53-55r,max,max,C3-C5,MH 9-11/HM 24-26,,36,31/01/2025,godawful piece of shit track,,play with bbal first stint for rears
Brazil,50-40q / 21-14r,100-15(20r)-100,LL.05L,38-1-1-9-22-56,100/52q 53-54r,max,max,C2-C4,HM 20-23/MH 12-14,,36,21/03/2025,reversed 23 rollbar / VERY low race wings. Parc Ferme is 28-21,,
Las Vegas,2-0q / 0-0r,100-25(30r)-100,LL.03L ,41-1-3-21-20-55,100/54-56,24.5-25.0,24.5-max,C3-C5,HM 14-17/MH 8-10,,25,08/02/2025,LLLL race,"31,1 PB",
Qatar,50-50,100-15-100,LL.02L,41-12-9-20-22-52,100/52,max,max,C1-C3,HM 15-18/MH 8-10,,29,08/03/2025,"20,9 PB / not race-tested",,
Abu Dhabi,42-40q / 37-40r,100-20-100,LLLL,41-15-7-21-22-54,100/54,max,max,C3-C5,HM 16-18/MH 7-9,,29,Theorycrafted,never driving,,
Portugal,43-47q / 41-47r,100-25(30r)-100,LL.05L,40-1-4-21-20-62,100/52-54,28.5-25.5,29.0-26.0,C1-C3,SM 11-13/MS 21-23,,33,21/02/2025,race-tested goodness,,"16,0 PB"
Miami 2,18-24,100-25(30r)-100,LL.03L,41-5-10-21-19-59,100/52-56,max,max,see J7,see K7,,see cell L7,24/01/2025,"""fixed"" the track as we say. I still fucking hate it",,
Brazil 2,50-39q / 22-18r,100-20-100,LL.04L,41-3-10-21-22-55,100/52q 53r,max,max,see J22,see K22,,see cell L22,17/03/2025,understeer on entry is gone ,,
,,,,,,,,,,,,,,,
Alert:,,,,,,,,,,,,,,,
SETUPS ARE FINAL: NO UPDATES ANYMORE. F1 24's game cycle ended ages ago. ,,,,,,,,,,,,,,,
Don't be put off by the wings / roll-bars,,,,,,,,,,,,,,,
DO NOT USE THE C5 IN A RACE AT ALL COSTS UNLESS SPECIFIED,,,,,,,,,,,,,,,
Circuits with red text are those where the AI are fast on the straights. Green text means that the AI are slow in the straights.,,,,,,,,,,,,,,,
Both left and right tires have the same pressures unless specified. The order is front left-front right-rear left-rear right,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tips and Tricks if You're Struggling,,,,,,,,,,,,,,,
Type of Issue,Solution,,,,,,,,,,,,,,
Understeer,"higher front wing, less front arb, front toe, bigger difference between front & rear ride-height, lower brake bias / off diff, higher engine braking",,,,,,,,,,,,,,
Oversteer,"higher rear wing, more front arb, smaller ride height gap, higher bbal + off diff, lower engine brake",,,,,,,,,,,,,,
Front locking,"lower brake bias, lower off diff",,,,,,,,,,,,,,
Rear locking,"higher brake bias, higher off diff",,,,,,,,,,,,,,
Overheating (f),"more oversteer in setup, bbal rearwards",,,,,,,,,,,,,,
Overheating (r),"more understeer in setup, smoother driving, bbal forwards",,,,,,,,,,,,,,
Bottoming (f),"higher front ride height, higher front/rear susp, avoid kerb/bump",,,,,,,,,,,,,,
Bottoming (r),"higher rear ride height, avoid kerb/bump, higher front/rear susp",,,,,,,,,,,,,,
Spinning on Kerbs others can take,,,"Problem in Driver, not Car. Try the options above if need be",,,,,,,,,,,,
,,,,,,,,,,,,,,,
FAQ,,,,,,,,,,,,,,,
What ERS modes should I run?,,,,,,,,,,,,,,,
"For qualifying, mostly medium and overtake. Hotlap for the long straights, like Monza or Vegas. Medium for the twisty sections, and overtake out of slow corners / short straights.",,,,,,,,,,,,,,,
"For the race, don't be scared to turn the ERS off for some periods, as upshifting with no ERS will kick-start the recharge process. Be aware that turning the ERS off does cost you tons of speed.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
What's up with the wings? Do they work?,,,,,,,,,,,,,,,
"F1 24 is completely different to previous games, and now we get rotation / downforce through the ride-height and rollbars more. For tracks such as Spain, Hungary, Qatar and Zandvoort, a standard 50-36 wing 21-21 rollbar combo will leave you in a bad place, as you're missing out on crucial rear downforce.",,,,,,,,,,,,,,,
"This situation is that if you make one wrong move the car can just die on you, but with 5-21/10-21 arb the rotation comes much more naturally, and we are able to run much more rear wing without losing rotation. However, the extra rotation isn't for everyone - run a bit more roll-bar if struggling with oversteer.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Wet-Weather Changes,,,,,,,,,,,,,,,
"Rain is certainly a drift simulator in F1 24, but the change list is the same: +10 clicks wing inters and an extra 2 clicks of ride height",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STOP ASKING FOR EDITOR ACCESS OR YOU WILL BE PUNISHED BY GOD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
REST IN PISS F1 24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A link to the full tire temperatures spreadsheet 👇,,,,,,,,,,,,,,,
F1 24 Tyre Temps,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,baku,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,jeddah,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
hanoi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,hockenheim,,,,,,,,,,,,,
