Circuit,Aero,Differential,Susp. geometry,Suspension,Brakes,Tires Q,Tires R,Fuel (50%),Strategy (50%),,Other notes,,,,,,,Compounds
"All strategies are for 50% race distance. For anything less, soft-medium will suffice. All fuel tests are done in clean air without DRS",,,,,,,,,,,,,,,,,,
"All setups are meant for online races but can also be used in career mode. Some tracks will be harder than others. Tracks in bold are notorious for having the AI use very low downforce levels that make them fast on the straights. Using lower wings than on the spreadsheet will come with a significant performance loss, especially on old tires.",,,,,,,,,,,,,,,,,,
"Tire pressures are set in a way that tire wear is equal on all 4 tires unless the circuit is front / rear limited. Note that rears go off faster than the fronts, and tire pressures are symmetrical for the front and the rear. Do not try asymmetric tire pressures.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,FAQ,,,,,,,,,,,,,,,
Legend,,,Wet-Weather Modifications,,,,,,,,,,,,,,,
FW: front wing,,,"Wings: +10 on both if inter, +15 or up to the maximum in the wet. ",,,,,,,,,,,,,,,
RRLL: right-right-left-left,,,"Differential: +5 on-throttle, 51 or 50 off-throttle. This will assist with traction and braking",,,,,,,,,,,,,,,
BB: brake bias,,,Suspension and camber should be left untouched,,,,,,,,,,,,,,,
S: softs,,,1% more brake bias to reduce risk of rear locking,,,,,,,,,,,,,,,
M: mediums,,,Minimum rear tire pressures for full wets. Intermediates are to use dry pressures,,,,,,,,,,,,,,,
SM: soft-medium,,,,,,,,,,,,,,,,,,
SH: soft-hard,,,Why are the wings so high? I lose 4 tenths on the straight!,,,,,,,,,,,,,,,
MH: medium-hard,,,"On F1 23, DRS and slipstream are significantly more powerful than on 22 or even 2021. This results in you being able to run much, much, more downforce and losing little to no time as overtaking is easier to pull off with the powerful DRS.",,,,,,,,,,,,,,,
HM: hard-medium,,,"Tire degradation is also higher on F1 23, with all compounds losing around a full second of lap-time past 22% tire wear. This results in the effectiveness of low wings reducing significantly, as the car is sliding around more with the reduced downforce.",,,,,,,,,,,,,,,
Q: qualifying,,,"However, higher wings do result in (obviously) lower straight-line speed and worse ERS recharging opportunities, and could contribute to higher fuel use.",,,,,,,,,,,,,,,
R: race,,,,,,,,,,,,,,,,,,
rh: ride height,,,Tire Pressures,,,,,,,,,,,,,,,
,,,"Lower pressures result in more grip and less heat in the tire, thus reducing tire degradation. The lowest pressures are used at tracks with lots of corners and few straights, like Monaco, Singapore, Hungary and Spain. Tracks like Monza and Las Vegas, however, require higher pressures due to their long straights and few corners.",,,,,,,,,,,,,,,
,,,"This is all down to personal preference, but if you're planning on using the softs in the race, you should use qualifying tire pressures, as they're made for the soft tire.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Maximilian Lückert's channel: youtube.com/@Maeksy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tire Temperature Range (Celsius),,Fahrenheit,Notes,,,,Tracks where it's present,,,,,,,,,,,
C0,100 to 110°C,212 to 230°F,only used at Portimao,,,,Portimao,,,,,,,,,,,
C1,100 to 110°C,212 to 230°F,hardest tire for most demanding tracks like Qatar,,,,"Bahrain, Spain, Britain, Netherlands, Japan, Qatar",,,,,,,,,,,
C2,97.5 to 107.5°C,207.5 to 225.5°F,"can be a good medium tire, often used in the race",,,,"Bahrain, Saudi Arabia, Australia, Miami, Spain, Britain, Hungary, Belgium, Italy, Japan, Qatar, USA, Mexico, Brazil, China, France, Portugal",,,,,,,,,,,
C3,95 to 105°C,203 to 221°F,"all-rounder, seen at every circuit",,,,All circuits,,,,,,,,,,,
C4,92.5 to 102.5°C,198.5 to 216.5°F,"good grip but degrades fast, often only used as the medium ",,,,"Saudi Arabia, Australia, Azerbaijan, Miami, Imola, Monaco, Canada, Austria, Hungary, Belgium, Italy, Singapore, USA, Mexico, Brazil, Las Vegas, Abu Dhabi, China, France",,,,,,,,,,,
C5,90 to 100°C,194 to 212°F,"quali tire, only usable at Canada and Vegas",,,,"Azerbaijan, Imola, Monaco, Canada, Austria, Singapore, Las Vegas, Abu Dhabi",,,,,,,,,,,
C6/Hypersoft,90 to 100°C,194 to 212°F,only found in game files,,,,,,,,,,,,,,,
